# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,14,0.0,16392,130155913962470,1000000000,7.0,690.811653573061,2.99792458E8,20,2636.7634697658714,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,15,0.0,16431,130155927784262,12,39.97385025024414,557.3621781075053,0.0018226496176794171,17,30256.203062394783,9.113248088397086E-4,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,17,0.0,16431,130155923762359,45,23.837203979492188,345.0450956799723,0.011014360003173351,17,17833.529019794605,0.10065401640076911,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,19,0.0,16431,130155927840221,13,41.68659591674805,-3.836779461863671,0.0015774101484566927,17,-209.24201608463457,7.887050742283463E-4,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,20,0.0,16392,130155918967754,1000000000,7.0,478.05420225400417,2.99792458E8,20,869.7162615834645,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,23,0.0,16431,130155920247399,54,21.54976463317871,455.7325108386069,0.9832244186334007,20,19884.061271906285,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,24,0.0,16431,130155932815638,92,14.951013565063477,-14.15322681117923,1.2786261224691122,20,-639.9985832261359,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,25,0.0,16431,130155918698782,30,28.873802185058594,-633.6070459773364,0.006167788058519363,17,-31062.398743285004,0.0030838940292596817,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,28,0.0,16392,130155915889739,1000000000,11.49776840209961,635.7646008886786,2.99792458E8,20,27723.62864287608,3.4028234663852886E38,1.57542003E9,,,,1,,1,48.692569732666016,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,32,0.0,16392,130155915390147,1000000000,12.935626983642578,-636.4156439731773,2.99792458E8,18,-644.3597450064195,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.692569732666016,,,,,,,
